CSO_LEA,total_sas,underserved,pop
ARTANE-WHITEHALL,186,0,52137
BALLYFERMOT-DRIMNAGH,171,0,48563
TALLAGHT CENTRAL,118,0,36178
SOUTH WEST INNER CITY,181,0,44853
SOUTH EAST INNER CITY,178,0,43586
RATHFARNHAM-TEMPLEOGUE,195,0,52805
PEMBROKE,199,0,45663
PALMERSTOWN-FONTHILL,70,0,22142
NORTH INNER CITY,262,0,74708
LUCAN,170,0,55785
KIMMAGE-RATHMINES,249,0,59788
FIRHOUSE-BOHERNABREENA,124,0,37643
DONAGHMEDE,162,0,47080
CLONTARF,211,0,56957
CLONDALKIN,166,0,52878
CABRA-GLASNEVIN,259,0,63073
BALLYMUN-FINGLAS,203,0,56305
TALLAGHT SOUTH,133,0,43644
