county,year,cases_all,cases_opioid
Address Unknown Ireland,2004,124.0,0.0
Address Unknown Ireland,2005,86.0,6.0
Address Unknown Ireland,2006,171.0,17.0
Address Unknown Ireland,2007,190.0,9.0
Address Unknown Ireland,2008,87.0,
Address Unknown Ireland,2009,70.0,12.0
Address Unknown Ireland,2010,104.0,41.0
Address Unknown Ireland,2011,39.0,17.0
Address Unknown Ireland,2012,82.0,30.0
Address Unknown Ireland,2013,82.0,28.0
Address Unknown Ireland,2014,106.0,44.0
Address Unknown Ireland,2015,113.0,40.0
Address Unknown Ireland,2016,250.0,68.0
Address Unknown Ireland,2017,104.0,35.0
Address Unknown Ireland,2018,181.0,137.0
Address Unknown Ireland,2019,72.0,58.0
Address Unknown Ireland,2020,59.0,35.0
Address Unknown Ireland,2021,20.0,16.0
Address Unknown Ireland,2022,15.0,9.0
Address Unknown Ireland,2023,38.0,9.0
Address Unknown Ireland,2024,40.0,9.0
Carlow,2004,313.0,47.0
Carlow,2005,262.0,44.0
Carlow,2006,167.0,47.0
Carlow,2007,156.0,48.0
Carlow,2008,193.0,
Carlow,2009,274.0,82.0
Carlow,2010,352.0,105.0
Carlow,2011,380.0,98.0
Carlow,2012,328.0,79.0
Carlow,2013,324.0,85.0
Carlow,2014,261.0,69.0
Carlow,2015,272.0,87.0
Carlow,2016,217.0,61.0
Carlow,2017,239.0,79.0
Carlow,2018,240.0,76.0
Carlow,2019,178.0,34.0
Carlow,2020,177.0,54.0
Carlow,2021,191.0,40.0
Carlow,2022,251.0,54.0
Carlow,2023,251.0,39.0
Carlow,2024,270.0,39.0
Cavan,2004,110.0,12.0
Cavan,2005,97.0,9.0
Cavan,2006,220.0,17.0
Cavan,2007,300.0,54.0
Cavan,2008,244.0,
Cavan,2009,183.0,49.0
Cavan,2010,185.0,42.0
Cavan,2011,165.0,33.0
Cavan,2012,313.0,51.0
Cavan,2013,148.0,26.0
Cavan,2014,117.0,37.0
Cavan,2015,133.0,15.0
Cavan,2016,175.0,49.0
Cavan,2017,165.0,34.0
Cavan,2018,121.0,16.0
Cavan,2019,176.0,19.0
Cavan,2020,118.0,11.0
Cavan,2021,170.0,28.0
Cavan,2022,204.0,20.0
Cavan,2023,310.0,24.0
Cavan,2024,192.0,19.0
Clare,2004,138.0,8.0
Clare,2005,160.0,11.0
Clare,2006,160.0,25.0
Clare,2007,201.0,19.0
Clare,2008,165.0,
Clare,2009,182.0,34.0
Clare,2010,214.0,34.0
Clare,2011,158.0,17.0
Clare,2012,162.0,31.0
Clare,2013,242.0,56.0
Clare,2014,304.0,70.0
Clare,2015,339.0,88.0
Clare,2016,305.0,63.0
Clare,2017,266.0,44.0
Clare,2018,290.0,61.0
Clare,2019,302.0,56.0
Clare,2020,233.0,33.0
Clare,2021,286.0,50.0
Clare,2022,309.0,36.0
Clare,2023,324.0,48.0
Clare,2024,301.0,29.0
Cork,2004,1129.0,53.0
Cork,2005,1345.0,74.0
Cork,2006,1250.0,102.0
Cork,2007,1467.0,146.0
Cork,2008,1574.0,
Cork,2009,1699.0,254.0
Cork,2010,2230.0,333.0
Cork,2011,2418.0,348.0
Cork,2012,2156.0,280.0
Cork,2013,2302.0,385.0
Cork,2014,2346.0,358.0
Cork,2015,2110.0,380.0
Cork,2016,1973.0,332.0
Cork,2017,1765.0,295.0
Cork,2018,1916.0,354.0
Cork,2019,1939.0,335.0
Cork,2020,1532.0,256.0
Cork,2021,1501.0,229.0
Cork,2022,1472.0,246.0
Cork,2023,1459.0,210.0
Cork,2024,1608.0,193.0
Donegal,2004,474.0,7.0
Donegal,2005,392.0,8.0
Donegal,2006,500.0,18.0
Donegal,2007,616.0,16.0
Donegal,2008,651.0,
Donegal,2009,730.0,29.0
Donegal,2010,826.0,19.0
Donegal,2011,735.0,17.0
Donegal,2012,720.0,29.0
Donegal,2013,542.0,26.0
Donegal,2014,503.0,23.0
Donegal,2015,506.0,25.0
Donegal,2016,659.0,31.0
Donegal,2017,699.0,35.0
Donegal,2018,684.0,31.0
Donegal,2019,787.0,40.0
Donegal,2020,669.0,39.0
Donegal,2021,661.0,37.0
Donegal,2022,695.0,48.0
Donegal,2023,765.0,24.0
Donegal,2024,763.0,30.0
Dublin,2004,3692.0,2812.0
Dublin,2005,3993.0,2976.0
Dublin,2006,4075.0,2959.0
Dublin,2007,4542.0,2910.0
Dublin,2008,5327.0,
Dublin,2009,5431.0,3079.0
Dublin,2010,5104.0,2633.0
Dublin,2011,5063.0,2355.0
Dublin,2012,4566.0,1920.0
Dublin,2013,5249.0,2293.0
Dublin,2014,5818.0,2452.0
Dublin,2015,5907.0,2347.0
Dublin,2016,5574.0,2205.0
Dublin,2017,5614.0,2077.0
Dublin,2018,6643.0,2363.0
Dublin,2019,6953.0,2341.0
Dublin,2020,6153.0,1845.0
Dublin,2021,7518.0,2052.0
Dublin,2022,8537.0,2306.0
Dublin,2023,9548.0,2258.0
Dublin,2024,9473.0,1703.0
Galway,2004,127.0,21.0
Galway,2005,166.0,45.0
Galway,2006,167.0,64.0
Galway,2007,463.0,124.0
Galway,2008,658.0,
Galway,2009,562.0,127.0
Galway,2010,633.0,181.0
Galway,2011,605.0,126.0
Galway,2012,590.0,147.0
Galway,2013,589.0,160.0
Galway,2014,479.0,144.0
Galway,2015,552.0,166.0
Galway,2016,558.0,157.0
Galway,2017,492.0,111.0
Galway,2018,471.0,118.0
Galway,2019,424.0,81.0
Galway,2020,291.0,81.0
Galway,2021,376.0,90.0
Galway,2022,456.0,78.0
Galway,2023,552.0,108.0
Galway,2024,686.0,107.0
Items With 5 Or Less Entries Have Been Removed,2004,,
Items With 5 Or Less Entries Have Been Removed,2005,,
Items With 5 Or Less Entries Have Been Removed,2006,,
Items With 5 Or Less Entries Have Been Removed,2007,,
Items With 5 Or Less Entries Have Been Removed,2008,,
Items With 5 Or Less Entries Have Been Removed,2009,,
Items With 5 Or Less Entries Have Been Removed,2010,,
Items With 5 Or Less Entries Have Been Removed,2011,,
Items With 5 Or Less Entries Have Been Removed,2012,,
Items With 5 Or Less Entries Have Been Removed,2013,,
Items With 5 Or Less Entries Have Been Removed,2014,,
Items With 5 Or Less Entries Have Been Removed,2015,,
Items With 5 Or Less Entries Have Been Removed,2016,,
Items With 5 Or Less Entries Have Been Removed,2017,,
Items With 5 Or Less Entries Have Been Removed,2018,,
Items With 5 Or Less Entries Have Been Removed,2019,,
Items With 5 Or Less Entries Have Been Removed,2020,,
Items With 5 Or Less Entries Have Been Removed,2021,,
Items With 5 Or Less Entries Have Been Removed,2022,,
Items With 5 Or Less Entries Have Been Removed,2023,,
Items With 5 Or Less Entries Have Been Removed,2024,,
Kerry,2004,270.0,0.0
Kerry,2005,315.0,11.0
Kerry,2006,262.0,13.0
Kerry,2007,311.0,18.0
Kerry,2008,322.0,
