name,lat,lng,type,county,address,source
Drug Treatment Centre Board (Trinity Court),53.3428,-6.2517,outpatient/residential,Dublin,"30-31 Pearse St, Dublin 2",curated_public_records
Merchants Quay Ireland Drop-In Centre,53.3429,-6.2759,harm_reduction,Dublin,"Merchants Quay, Dublin 8",curated_public_records
Coolmine Therapeutic Community,53.3877,-6.3556,residential,Dublin,"Blanchardstown, Dublin 15",curated_public_records
Ana Liffey Drug Project,53.3478,-6.2604,outpatient,Dublin,"48 Middle Abbey St, Dublin 1",curated_public_records
Stanhope Street Treatment Centre,53.3534,-6.2826,outpatient,Dublin,"Stanhope St, Dublin 7",curated_public_records
Rutland Centre,53.2955,-6.3066,residential,Dublin,"Knocklyon, Dublin 16",curated_public_records
Keltoi Residential Treatment Centre,53.3541,-6.2838,residential,Dublin,"Grangegorman, Dublin 7",curated_public_records
Saol Project,53.3475,-6.2588,outpatient,Dublin,"5-6 Amiens St, Dublin 1",curated_public_records
Rialto Community Drug Team,53.3368,-6.2908,community,Dublin,"Rialto, Dublin 8",curated_public_records
Ballymun Community Addiction Team,53.4136,-6.2626,community,Dublin,"Ballymun, Dublin 11",curated_public_records
Cherry Orchard Hospital Addiction Services,53.3486,-6.3725,outpatient,Dublin,"Cherry Orchard, Dublin 10",curated_public_records
Cluain Mhuire Addiction Services,53.2929,-6.1751,outpatient,Dublin,"Newtownpark Ave, Blackrock",curated_public_records
Finglas Community Drug Team,53.3905,-6.2952,community,Dublin,"Finglas, Dublin 11",curated_public_records
Cabra Community Drug Team,53.367,-6.2975,community,Dublin,"Cabra, Dublin 7",curated_public_records
Tallaght Drug and Alcohol Service,53.2875,-6.3743,community,Dublin,"Tallaght, Dublin 24",curated_public_records
Clondalkin Community Drug Team,53.322,-6.3952,community,Dublin,"Clondalkin, Dublin 22",curated_public_records
Dún Laoghaire Drug and Alcohol Service,53.2955,-6.1359,community,Dublin,Dún Laoghaire,curated_public_records
Bray Community Drug Team,53.2024,-6.0993,community,Wicklow,"Bray, Co. Wicklow",curated_public_records
HSE Addiction Services Beaumont,53.3929,-6.238,outpatient,Dublin,"Beaumont Hospital, Dublin 9",curated_public_records
North Dublin Community Drug Team,53.4086,-6.2427,community,Dublin,"Northside, Dublin",curated_public_records
Father Peter McVerry Trust - Prospect Hill,53.3721,-6.2599,residential,Dublin,"Prospect Hill, Dublin 9",curated_public_records
Crosscare Drug and Alcohol Services,53.3677,-6.2587,community,Dublin,"Drumcondra, Dublin 9",curated_public_records
South Inner City Community Drug Team,53.3362,-6.2673,community,Dublin,"The Liberties, Dublin 8",curated_public_records
Inchicore Community Drug Team,53.3413,-6.3153,community,Dublin,"Inchicore, Dublin 8",curated_public_records
HSE Addiction Service Blanchardstown,53.3883,-6.3765,outpatient,Dublin,"Blanchardstown, Dublin 15",curated_public_records
Tabor Lodge Addiction Treatment Centre,51.7338,-8.3816,residential,Cork,"Belgooly, Co. Cork",curated_public_records
Arbour House,51.9105,-8.4653,residential,Cork,"Farranree, Cork",curated_public_records
St Michael's Unit Cork,51.8912,-8.4677,inpatient,Cork,"St Finbarr's Hospital, Cork",curated_public_records
Cork Community Drug and Alcohol Service,51.8977,-8.4741,community,Cork,Cork City,curated_public_records
Knocknaheeny/Hollyhill Drug Team,51.9132,-8.4985,community,Cork,"Knocknaheeny, Cork",curated_public_records
Midleton Addiction Service,51.9121,-8.1716,outpatient,Cork,"Midleton, Co. Cork",curated_public_records
Bantry Addiction Service,51.6813,-9.4533,outpatient,Cork,"Bantry, Co. Cork",curated_public_records
Novas Initiatives,52.6558,-8.6268,residential,Limerick,Limerick City,curated_public_records
Limerick Addiction Services (HSE),52.6572,-8.6263,outpatient,Limerick,Limerick City,curated_public_records
